DeviceName,DeviceId,SoftwareName,SoftwareVendor,OSPlatform,OSVersion,VulnerabilitySeverityLevel,IsExploitAvailable,RecommendedSecurityUpdate,CVEs,DeviceId1,LatestTimestamp,LastSeenDate,TimeSeen
21048w10n.sa.internal,747053a9e906959e39bf78c4b59056a037af9895,openssl,openssl,Windows10,10.0.19045.3570,Low,0,,{'CVE-2023-3817': 'Low'},747053a9e906959e39bf78c4b59056a037af9895,2023-11-12T22:19:00.1191524Z,12/11/2023,22:19:00
21048w10n.sa.internal,747053a9e906959e39bf78c4b59056a037af9895,openssl,openssl,Windows10,10.0.19045.3570,Medium,0,,"{'CVE-2023-4807': 'Medium', 'CVE-2023-5363': 'Medium'}",747053a9e906959e39bf78c4b59056a037af9895,2023-11-12T22:19:00.1191524Z,12/11/2023,22:19:00
syd-fs4.sa.internal,c95a37f163d3bce35452265ba10f5baf2da9ce81,7-zip,7-zip,WindowsServer2019,10.0.17763.4974,High,0,,"{'CVE-2023-40481': 'High', 'CVE-2023-31102': 'High'}",c95a37f163d3bce35452265ba10f5baf2da9ce81,2023-11-12T22:33:05.7269953Z,12/11/2023,22:33:05
19294w10n.sa.internal,fcb33d41e0d67692081d54d87e9ec62bd01b723d,openssl,openssl,Windows10,10.0.19045.3570,Low,0,,{'CVE-2023-3817': 'Low'},fcb33d41e0d67692081d54d87e9ec62bd01b723d,2023-11-12T22:16:45.0743054Z,12/11/2023,22:16:45
19294w10n.sa.internal,fcb33d41e0d67692081d54d87e9ec62bd01b723d,openssl,openssl,Windows10,10.0.19045.3570,Medium,0,,"{'CVE-2023-4807': 'Medium', 'CVE-2023-5363': 'Medium'}",fcb33d41e0d67692081d54d87e9ec62bd01b723d,2023-11-12T22:16:45.0743054Z,12/11/2023,22:16:45
pausesaudc01.sa.internal,676b132833b8a3bfc1c82266ebc2b7fdeaf610ea,.net,microsoft,WindowsServer2022,10.0.20348.2031,Medium,0,,{'CVE-2023-36799': 'Medium'},676b132833b8a3bfc1c82266ebc2b7fdeaf610ea,2023-11-12T22:32:56.5940257Z,12/11/2023,22:32:56
pausesaudc01.sa.internal,676b132833b8a3bfc1c82266ebc2b7fdeaf610ea,.net_core,microsoft,WindowsServer2022,10.0.20348.2031,Medium,0,,{'CVE-2022-34716': 'Medium'},676b132833b8a3bfc1c82266ebc2b7fdeaf610ea,2023-11-12T22:32:56.5940257Z,12/11/2023,22:32:56
pausesaudc01.sa.internal,676b132833b8a3bfc1c82266ebc2b7fdeaf610ea,.net_core,microsoft,WindowsServer2022,10.0.20348.2031,High,0,,"{'CVE-2022-38013': 'High', 'CVE-2022-41032': 'High', 'CVE-2022-41089': 'High'}",676b132833b8a3bfc1c82266ebc2b7fdeaf610ea,2023-11-12T22:32:56.5940257Z,12/11/2023,22:32:56
pausesaudc01.sa.internal,676b132833b8a3bfc1c82266ebc2b7fdeaf610ea,.net,microsoft,WindowsServer2022,10.0.20348.2031,High,1,,{'CVE-2023-44487': 'High'},676b132833b8a3bfc1c82266ebc2b7fdeaf610ea,2023-11-12T22:32:56.5940257Z,12/11/2023,22:32:56
pausesaudc01.sa.internal,676b132833b8a3bfc1c82266ebc2b7fdeaf610ea,asp.net_core,microsoft,WindowsServer2022,10.0.20348.2031,High,1,,{'CVE-2023-44487': 'High'},676b132833b8a3bfc1c82266ebc2b7fdeaf610ea,2023-11-12T22:32:56.5940257Z,12/11/2023,22:32:56
pausesaudc01.sa.internal,676b132833b8a3bfc1c82266ebc2b7fdeaf610ea,.net,microsoft,WindowsServer2022,10.0.20348.2031,High,0,,"{'CVE-2023-36792': 'High', 'CVE-2023-36794': 'High', 'CVE-2023-36796': 'High', 'CVE-2023-36793': 'High'}",676b132833b8a3bfc1c82266ebc2b7fdeaf610ea,2023-11-12T22:32:56.5940257Z,12/11/2023,22:32:56
